Qty,Value,Device,Package,Parts,Description,BOM,DESCRIPTION,DIS,DISCRIPTION,DIST,DIST_PN,DPN,GENERIC,MFG,MFG_PN,MFR,MPN,P-NP,POPULARITY
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,PINHD-1X15,1X15,"JP1,JP3,J1",PIN HEADER,,,,PIN HEADER,Digi-Key,952-3605-ND,,Y,Harwin Inc.,M50-3532042,,,P,
1,,PINHD-2X2,2X02,JP2,PIN HEADER,,,,PIN HEADER,Digi-Key,952-1772ND,,Y,Harwin Inc.,M20-97602,,,,0
2,,PINHD-2X3,2X03,"J301, J302",PIN HEADER,,,,PIN HEADER,Digi-Key,952-2121-ND,,Y,Harwin Inc.,M20-9980346,,,,62
4,0.68,R-US_0805-B-NOSILK,.0805-B-NOSILK,"R305, R306, R411, R412","RESISTOR, American symbol",,,,RESISTOR,Digi-Key,2019-SR732ATTDR680FCT-ND,,Y,"KOA Speer Electronics, Inc.",SR732ATTDR680F,,,,
1,1.27MM-SWD-CONNECTOR,1.27MM-SWD-CONNECTOR,1.27MM_2X5,SWD1,ARM SWD Programming Header. Example part is the CNC 3220-10-0100-00,,,,ARM SWD Programming header,Digi-Key,1175-1627-ND,,Y,CNC Tech,3220-10-0100-00,,,,
1,1.3k,R-US_0402-B-NOSILK,.0402-B-NOSILK,R1,"RESISTOR, American symbol",,,,RESISTOR,Digi-Key,2019-RK73H1ETTP1301FCT-ND,,Y,"KOA Speer Electronics, Inc.",RK73H1ETTP1301F,,,,
2,100,R-US_0402-B-NOSILK,.0402-B-NOSILK,"R3, R4","RESISTOR, American symbol",,,,RESISTOR,Digi-Key,2019-RK73H1ETTP1000FCT-ND,,Y,"KOA Speer Electronics, Inc.",RK73H1ETTP1000F,,,,
1,100k,R-US_0402-B-NOSILK,.0402-B-NOSILK,R405,"RESISTOR, American symbol",,,,RESISTOR,Digi-Key,2019-RK73H1ETTP1003FCT-ND,,Y,"KOA Speer Electronics, Inc.",RK73H1ETTP1003F,,,,
7,100n,C-EU0402-B-NOSILK,.0402-B-NOSILK,"C101, C102, C106, C107, C307, C310, C408","CAPACITOR, European symbol",,,,CAPACITOR,Digi-Key,1276-1001-1-ND,,Y,Samsung Electro-Mechanics,CL05B104KO5NNNC,,,,
,,,,,,,,,,,,,,,,,,,
3,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"R101, R104, R309","RESISTOR, American symbol",,,,RESISTOR,Digi-Key,2019-RK73H1ETTP1002FCT-ND,,Y,"KOA Speer Electronics, Inc.",RK73H1ETTP1002F,,,,
1,10k,R-US_0603-C-NOSILK,.0603-C-NOSILK,R201,"RESISTOR, American symbol",,,,RESISTOR,Digi-Key,2019-RK73H1JTTD1002FCT-ND,,Y,"KOA Speer Electronics, Inc.",RK73H1JTTD1002F,,,,
3,10n,C-EU0402-B-NOSILK,.0402-B-NOSILK,"C103, C305, C405","CAPACITOR, European symbol",,,,CAPACITOR,Digi-Key,1276-1051-1-ND,,,Samsung Electro-Mechanics,CL05B103KO5NNNC,,,,
