"Part";"Value";"Device";"Package";"Description";"DIS";"DPN";"MFR";"MPN";"TP_SIGNAL_NAME";
"BOOT";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";"";"";"";
"C101";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C102";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C103";"10n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C104";"10p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-6601-1-ND";"Samsung";"CL05C200JB51PNC";"";
"C105";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C201";"10u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C202";"10u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C203";"10u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C204";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C205";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C206";"22u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C207";"22u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C301";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C302";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C303";"2.2u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C304";"1n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C305";"10n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
