"Qty";"Value";"Device";"Package";"Parts";"Description";"DIS";"DPN";"MFR";"MPN";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";
"1";"";"PINHD-1X10";"1X10";"JP9";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X5";"1X05";"JP5, JP6";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X5";"2X05";"JP10";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X6";"2X06";"JP11";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"0";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R31, R33";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";"";"";"";
"3";"100";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R4, R24, R25";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";"";"";"";
"1";"100m";"R-US_R1206";"R1206";"R29";"RESISTOR, American symbol";"";"";"";"";"";"";"R";"";
"1";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C1";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";"";"";"";
"9";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R15, R16, R18, R26, R27, R28, R30, R35, R38";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";"";"";"";
"2";"1u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C4, C5";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";"";"";"";
"2";"2.7k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R1, R12";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";"";"";"";
"1";"AMBER";"LED-GREEN0603";"LED-0603";"D4";"Green SMD LED";"";"";"";"";"";"";"";"GREEN";
"1";"DMP2240UDM";"MOSFET-PCH-SOT23-6";"SOT23-6";"Q1";"Dual P channel MOSFETs in an SOT23-6";"";"";"Diodes Inc";"DMP2240UDM";"";"";"";"";
"1";"GREEN";"LED-GREEN0603";"LED-0603";"D1";"Green SMD LED";"";"";"";"";"";"";"";"GREEN";
"3";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-73300-003X";"J-MOLEX-SMPM-073300-003X";"CM1, CM2, CM3";"";"";"";"Molex";"73300-0020";"";"";"";"";
"1";"J-SAMTEC-TFM-110-X1-XXX-D-RA";"J-SAMTEC-TFM-110-X1-XXX-D-RA";"J-SAMTEC-TFM-110-X1-XXX-D-RA";"J1";"";"";"";"Samtec";"TFM-110-01-L-D-RA ";"";"";"";"";
"1";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J6";"";"";"";"Samtec";"TFM-120-01-L-D-RA";"";"";"";"";
"1";"MAX4211CETE";"MAX4211";"QFN65P400X400X80-17T210";"U4";"";"";"";"Maxim";"MAX4211CETE";"";"";"";"";
"1";"MAX7310ATE";"MAX7310";"QFN65P400X400X80-17T210";"U3";"";"";"";"Maxim";"MAX7310ATE";"";"";"";"";
"1";"MCP1703A";"XC63FPM";"SOT23";"U7";"Positiv Voltage Regulators";"";"";"Microchip";"MCP1703AT-3302E/CB";"";"";"";"";
"2";"MOSFET-PCH-SOT23-6";"MOSFET-PCH-SOT23-6";"SOT23-6";"Q3, Q4";"P channel MOSFET in an SOT23-6";"";"";"Diodes Inc";"DMP3050LVT-7";"";"";"";"";
"1";"NP";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C2";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";"";"";"";
"16";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R5, R6, R8, R9, R11, R13, R14, R19, R20, R21, R22, R23, R32, R34, R36, R37";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";"";"";"";
"1";"ORESAT-CARD-V1.1-3XRF";"ORESAT-CARD-V1.1-3XRF";"ORESAT-CARD-V1.1-3XRF";"U$1";"";"";"";"";"";"";"";"";"";
"2";"PMV45EN";"PMV45EN";"SOT23";"Q5, Q6";"";"";"";"";"";"";"";"";"";
"4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"H1, H2, H3, H4";"Stand Off";"";"";"";"";"";"";"";"";
"2";"TBD";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C6, C8";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";"";"";"";
"15";"TEST-POINT";"TEST-POINT";"2MM-TEST-POINT";"TP1, TP2, TP3, TP4, TP5, TP6, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP18, TP20";"";"";"";"";"";"";"";"";"";
"3";"U.FL";"U.FL2PIN";"U.FL";"J2, J3, J4";"SMD Antenna Connector - U.FL";"";"";"";"";"CONN-09193";"WRL-09144";"";"U.FL";
